title,author,publisher,image_url,isbn,category
5천만 원으로 시작하는 미라클 기적의 재개발 재건축,진와이스(장미진),리더스북,https://image.aladin.co.kr/product/31062/93/cover500/8901268884_1.jpg,9788901268880,['경제경영']
사피엔스 (양장 특별판),유발 하라리,김영사,https://image.aladin.co.kr/product/30863/24/cover500/8934943238_1.jpg,9788934943235,"['사회과학', '역사', '인문학']"
당신은 생각보다 강하다,전미경,웅진지식하우스,https://image.aladin.co.kr/product/31132/48/cover500/8901269236_1.jpg,9788901269238,"['인문학', '자기계발']"
참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,https://image.aladin.co.kr/product/15251/16/cover500/8937437562_1.jpg,9788937437564,['소설/시/희곡']
정세현의 통찰,정세현,푸른숲,https://image.aladin.co.kr/product/31000/95/cover500/k392831114_1.jpg,9791156754039,['사회과학']
초판본 동물 농장,조지 오웰,더스토리,https://image.aladin.co.kr/product/24943/31/cover500/k362632692_1.jpg,9791164453122,"['고전', '소설/시/희곡']"
읽으면서 바로 써먹는 어린이 맞춤법 행성,한날,파란정원,https://image.aladin.co.kr/product/31155/7/cover500/k882831149_1.jpg,9791158682538,['어린이']
보도 섀퍼 부의 레버리지,보도 섀퍼,비즈니스북스,https://image.aladin.co.kr/product/30986/76/cover500/k062831409_1.jpg,9791162543269,"['경제경영', '자기계발']"
나는 인생을 건 공부를 시작했다,이한나(츄발라),토네이도,https://image.aladin.co.kr/product/31062/41/cover500/k662831528_1.jpg,9791158512576,['자기계발']
소설 보다 : 봄 2023,"강보라, 김나현, 예소연",문학과지성사,https://image.aladin.co.kr/product/31298/29/cover500/8932041334_1.jpg,9788932041339,['소설/시/희곡']
열세 살 우리는,문경민,우리학교,https://image.aladin.co.kr/product/31090/81/cover500/k972831836_1.jpg,9791167550903,['어린이']
"사쿠라, 사쿠. 6",사키사카 이오,서울미디어코믹스(서울문화사),https://image.aladin.co.kr/product/31315/9/cover500/k892832884_1.jpg,9791136764492,['만화']
DO IT 두잇,데이비드 차,아크,https://image.aladin.co.kr/product/31101/43/cover500/k082831633_2.jpg,9791197015298,['종교/역학']
고양이 해결사 깜냥 1,홍민정,창비,https://image.aladin.co.kr/product/23651/80/cover500/8936447696_1.jpg,9788936447694,"['어린이', '추천도서']"
N,미치오 슈스케,북스피어,https://image.aladin.co.kr/product/31090/58/cover500/k112831835_2.jpg,9791192313177,['소설/시/희곡']
생에 감사해,김혜자,수오서재,https://image.aladin.co.kr/product/30657/87/cover500/k572830939_1.jpg,9791190382915,['에세이']
코스모스,칼 세이건,사이언스북스,https://image.aladin.co.kr/product/87/9/cover500/s922637499_3.jpg,9788983711892,"['과학', '청소년', '추천도서']"
오버로드 16 (일러스트 카드집 부속 특별판),마루야마 쿠가네,영상출판미디어(주),https://image.aladin.co.kr/product/31160/68/cover500/k742831142_1.jpg,9791138024389,['소설/시/희곡']
해커스 토익 LC 리스닝 LISTENING 2023 최신개정판,David Cho,해커스어학연구소(Hackers),https://image.aladin.co.kr/product/30640/55/cover500/8965424771_1.jpg,9788965424772,['외국어']
2023 문동균 한국사 D-30 문단속 모의고사,문동균,에스티유니타스,https://image.aladin.co.kr/product/31114/89/cover500/k442831845_1.jpg,9791169660150,['수험서/자격증']
신기한 맛 도깨비 식당 4,"김용세, 김병섭",꿈터,https://image.aladin.co.kr/product/31281/45/cover500/k392832472_1.jpg,9791167390837,['어린이']
원피스 104,오다 에이치로,대원씨아이(만화),https://image.aladin.co.kr/product/30933/57/cover500/k342831397_1.jpg,9791169791526,['만화']
